,district,Last,DocID
1,AZ02,KIRKPATRICK,10019248
4,AZ02,SHERRY,10019362
6,AZ02,HEINZ,10018167
7,AZ02,KOVACS,9111101
8,AZ02,MATIELLA,9111639
9,AZ02,WHEELER,9111972
2,AZ02,YUKSEL,10022110
11,AZ08,TIPIRNENI,10019441
12,AZ08,WESTBROOK,10014645
14,AZ08,MUSSELWHITE,9112921
16,CA34,MENDOZA,9111280
17,CA34,MAC,10015425
20,CA34,HOUTEN,10014736
22,CA34,CABILDO,10014474
26,CA34,AHN,10019105
30,CA39,RUSK,9111941
34,CA39,TRAN,10017986
36,CA39,JANOWICZ,10015728
38,CA39,CISNEROS,10019048
40,CA39,THORBURN,10018612
42,CA39,JAMMAL,10018615
29,CA39,LEE,9113413
31,CA39,LEGGETT,10024204
43,CO02,LARSEN,10019286
45,CO02,NEGUSE,10018131
47,CO02,WILLIAMS,10019894
49,CO07,PETTERSEN,10018333
50,CO07,KERR,9111359
52,CO07,MORENO,10018003
53,CT05,GLASSMAN,10021431
54,CT05,PRAVER,9113970
56,CT05,HAYES,10024139
60,FL15,PILKINGTON,10014954
62,FL15,LEARNED,10020071
63,FL15,HORNBACK,10019568
57,FL15,CARLSON,9113106
59,FL15,PENA,10021449
65,FL27,RICHARDSON,10019410
67,FL27,HAGGMAN,9112147
68,FL27,RUSSELL,10019706
69,FL27,RODRIGUEZ,10018412
71,FL27,ROSEN GONZALEZ,10017947
74,FL27,HEPBURN,10016945
75,FL27,SHALALA,10022225
78,GA06,KEATLEY,9110603
81,GA06,ABEL,10019357
82,GA06,SLOTIN,10014571
83,GA06,OSSOFF,10014492
86,GA06,KAPLE,10019254
77,GA06,MCBATH,10023518
79,GA06,GRIFFIN,10020160
90,HI01,KIM,9112303
92,HI01,ING,10019512
87,HI01,FUKUMOTO,10023362
88,HI01,MARTIN,9113421
93,HI01,CHIN,9112918
96,IL04,GARCIA,10019741
98,IL04,FLORES,10019632
100,IL04,GONZALEZ,9112261
101,IL04,LOPEZ,10019687
103,IN04,BECK,10017336
104,IN04,SHIPLEY,10019069
105,IN04,MACKEY,10018105
110,MA03,KOH,10018900
112,MA03,GIFFORD,10019544
114,MA03,DAS,10019303
119,MA03,LITTLEFIELD,10019554
121,MA03,CHANDLER,10019880
122,MA03,RYAN,10019932
125,MA03,TRAHAN,10020048
116,MA03,MATIAS,9113271
123,MA03,MALONE,10019780
127,MD06,HEARSEY,10019635
130,MD06,DUCK,10018279
132,MD06,MANNO,10018870
134,MD06,HASHIMI,10019051
135,MD06,FRICK,10016273
137,MD06,MILLER,10017378
139,MD06,TRONE,10018773
128,MD06,GRAVES,10023783
142,MI11,STEVENS,10016153
144,MI11,GUPTA,10020087
145,MI11,SAAD,10020154
147,MI11,GREIMEL,10019321
149,MI11,HABERMAN,10019359
158,MI13,GILMORE,9111544
151,MI13,HILL KNOTT,10023767
152,MI13,WILD,10024034
153,MI13,YOUNG,10022515
154,MI13,JONES,9113119
157,MI13,CONYERS,10024207
159,MI13,TLAIB,10022443
160,MI13,CONYERS,10024207
162,MN01,FEEHAN,10019342
163,MN01,SULLIVAN,10018832
164,MN01,WRIGHT,10018896
165,MN01,JENSEN,9112058
169,MN08,PHIFER,10019242
168,MN08,LEE,9112928
170,MN08,METSA,10023323
171,MN08,RADINOVICH,10023358
172,MN08,KENNEDY,10022015
178,MT01,WILLIAMS,10019408
182,NH01,SULLIVAN,9112570
184,NH01,PAPPAS,9112192
185,NH01,MACKENZIE,10019591
186,NH01,SOLDATI,10019601
188,NH01,MESSMER,10024474
190,NH01,MCEACHERN,10023097
191,NH01,SANDERS,9114006
192,NH01,ANDREWS,10023557
194,NJ11,COBERT,9112504
196,NJ11,SHERRILL,10017346
197,NJ11,HARRIS,10018705
198,NJ11,BARTLETT,10018397
199,NM01,SEDILLO LOPEZ,9111542
201,NM01,HAALAND,9111852
203,NM01,MARTINEZ,9111745
205,NM01,LARA,10017755
207,NM01,DAVIS,10018608
209,NM01,MOYA,10023411
210,NM01,DINGE,9111200
211,NM01,CHAVEZ,9111662
212,NM01,ABRAMS,10017745
217,NM02,BAAKE,10019119
219,NM02,HILDEBRANDT,10019317
220,NM02,MARTINEZ,10018604
214,NM02,TORRES SMALL,10019838
222,NV03,LEE,10019728
223,NV03,FARAHI,10019129
225,NV03,LOVE,10019003
227,NV03,WEISS,10021217
229,NV04,VILELA,10019103
230,NV04,SPEARMAN,10019817
231,NV04,ANZALONE,10024627
232,NV04,HORSFORD,10022635
233,NV04,STEPHENS,10023407
236,OH12,SCOTT,10019752
238,OH12,ALBERTSON,9111939
234,OH12,PATTON,9112471
239,OH12,RUSSELL,10021040
242,OH16,GODFREY,10016807
243,OH16,PALMER,10020080
244,OH16,GOODRICH,10020129
247,PA04,DEAN,9112670
249,PA05,KIRKLAND,9113232
251,PA05,ARATA,10020125
253,PA05,WERTIME,10020158
256,PA05,DAVIDSON,9112662
262,PA07,MCGINTY,10016999
263,PA07,PERRY,10017887
264,PA07,SHEEHAN,10015407
265,PA07,LEACH,10018721
259,PA07,WRIGHT,10020144
260,PA07,LUNKENHEIMER,10020093
261,PA07,VITALI,10023846
266,PA07,CHAUNCEY,10019883
267,PA13,GOODMAN,10019961
271,SC04,DAVIS,10019628
268,SC04,BROWN,10024173
270,SC04,GRABEN,10021616
272,SC04,MORIN,10020013
273,SC04,TURNER,10019833
275,SC05,PARNELL,9110627
276,SC05,FRANK,10015308
278,SC05,LOUGH,10022046
279,TX02,LITTON,10017409
281,TX02,KHORASANI,10018442
282,TX02,JONES,10019112
283,TX02,BRYAN,10015204
286,TX16,CARRILLO,10019018
288,TX16,ESCOBAR,10018885
289,TX16,GARCIA,10018743
290,TX16,FENENBOCK,9111773
293,TX21,CROWE,10016942
294,TX21,MCFADDEN,9111119
296,TX21,WILSON,10019826
292,TX21,KOPSER,10021950
299,TX27,HOLGUIN,9112474
300,TX27,MCDONALD,10019733
315,UT03,SINGER,10024941
317,WA08,SCHRIER,10018814
319,WA08,RITTEREISER,10018247
321,WA08,HADER,10019463
322,WA08,OLSON,10019314
323,WA08,WHITNEY,10018538
324,WA08,DAS,10018384
325,WA08,MARTS,10017924
326,WA08,CRAMER,9112627
