,district,Last,DocID,total_receipts
1,AZ02,KIRKPATRICK,10019248,4087164.7
4,AZ02,SHERRY,10019362,7318.02
6,AZ02,HEINZ,10018167,1013517.34
7,AZ02,KOVACS,9111101,82954.99
8,AZ02,MATIELLA,9111639,291497.47
9,AZ02,WHEELER,9111972,32300.15
2,AZ02,YUKSEL,10022110,52426.93
11,AZ08,TIPIRNENI,10019441,4113664.36
12,AZ08,WESTBROOK,10014645,42870.67
14,AZ08,MUSSELWHITE,9112921,9090.84
16,CA34,MENDOZA,9111280,17652.4
17,CA34,MAC,10015425,31150.81
20,CA34,HOUTEN,10014736,122626.12
22,CA34,CABILDO,10014474,220294.46
26,CA34,AHN,10019105,1670407.62
30,CA39,RUSK,9111941,2738.0
34,CA39,TRAN,10017986,1549901.96
36,CA39,JANOWICZ,10015728,391140.23
38,CA39,CISNEROS,10019048,11147211.14
40,CA39,THORBURN,10018612,3134476.11
42,CA39,JAMMAL,10018615,577017.47
29,CA39,LEE,9113413,1057942.54
31,CA39,LEGGETT,10024204,43295.81
43,CO02,LARSEN,10019286,15136.0
45,CO02,NEGUSE,10018131,1205532.44
47,CO02,WILLIAMS,10019894,93203.09
49,CO07,PETTERSEN,10018333,207825.84
50,CO07,KERR,9111359,124888.98
52,CO07,MORENO,10018003,95686.33
53,CT05,GLASSMAN,10021431,574803.54
54,CT05,PRAVER,9113970,24103.0
56,CT05,HAYES,10024139,1608362.41
60,FL15,PILKINGTON,10014954,65807.05
62,FL15,LEARNED,10020071,369182.46
63,FL15,HORNBACK,10019568,21343.63
57,FL15,CARLSON,9113106,1306227.44
59,FL15,PENA,10021449,10968.7
65,FL27,RICHARDSON,10019410,2412054.56
67,FL27,HAGGMAN,9112147,1445770.45
68,FL27,RUSSELL,10019706,773910.67
69,FL27,RODRIGUEZ,10018412,730743.08
71,FL27,ROSEN GONZALEZ,10017947,427448.57
74,FL27,HEPBURN,10016945,38399.23
75,FL27,SHALALA,10022225,3659882.62
78,GA06,KEATLEY,9110603,58408.42
81,GA06,ABEL,10019357,896900.05
82,GA06,SLOTIN,10014571,81279.8
83,GA06,OSSOFF,10014492,31552052.24
86,GA06,KAPLE,10019254,693572.44
77,GA06,MCBATH,10023518,1803443.48
79,GA06,GRIFFIN,10020160,12193.07
90,HI01,KIM,9112303,721399.31
92,HI01,ING,10019512,410418.88
