District,Name,DocID,Receipts,Min asset,Max asset,Min liability,Max liability,Min unearned income,Max unearned income,YTD income,Prior year income
AZ02,KIRKPATRICK,10019248,4087164.7,1001,15000,10000,15000,1,200,195000,195000
AZ02,KIRKPATRICK,,,15001,50000,15001,50000,1,200,,
AZ02,KIRKPATRICK,,,50001,100000,250001,500000,1001,2500,,
AZ02,KIRKPATRICK,,,50001,100000,250001,500000,1,200,,
AZ02,KIRKPATRICK,,,1001,15000,,,1001,2500,,
AZ02,KIRKPATRICK,,,50001,100000,,,1,200,,
AZ02,KIRKPATRICK,,,15001,50000,,,1001,2500,,
AZ02,KIRKPATRICK,,,100001,250000,,,5001,15000,,
AZ02,KIRKPATRICK,,,500001,1000000,,,1,200,,
AZ02,KIRKPATRICK,,,1001,15000,,,1001,2500,,
AZ02,KIRKPATRICK,,,1001,15000,,,201,1000,,
AZ02,KIRKPATRICK,,,15001,50000,,,1,200,,
AZ02,KIRKPATRICK,,,50001,100000,,,1,200,,
AZ02,KIRKPATRICK,,,50001,100000,,,1,200,,
AZ02,KIRKPATRICK,,,50001,100000,,,201,1000,,
AZ02,KIRKPATRICK,,,250001,500000,,,,,,
AZ02,KIRKPATRICK,,,1001,15000,,,,,,
AZ02,SHERRY,10019362,7318.02,1001,15000,,,1,200,,25031.25
AZ02,SHERRY,,,1001,15000,,,1,200,,
AZ02,SHERRY,,,1001,15000,,,1,200,,
AZ02,SHERRY,,,1,1000,,,1,200,,
AZ02,SHERRY,,,1,1000,,,1,200,,
AZ02,SHERRY,,,1001,15000,,,1,200,,
AZ02,SHERRY,,,1,1000,,,1,200,,
AZ02,SHERRY,,,1,1000,,,,,,
AZ02,SHERRY,,,1,1000,,,,,,
AZ02,SHERRY,,,1001,15000,,,,,,
AZ02,SHERRY,,,1,1000,,,,,,
AZ02,SHERRY,,,1001,15000,,,,,,
AZ02,SHERRY,,,1001,15000,,,,,,
AZ02,SHERRY,,,1001,15000,,,,,,
AZ02,SHERRY,,,1001,15000,,,,,,
AZ02,HEINZ,10018167,1013517.34,1001,15000,50001,100000,50001,100000,5000,155117
AZ02,HEINZ,,,15001,50000,15001,50000,,,258360,
AZ02,HEINZ,,,15001,50000,10000,15000,,,,
AZ02,HEINZ,,,15001,50000,100001,250000,,,,
AZ02,HEINZ,,,250001,500000,250001,500000,,,,
AZ02,HEINZ,,,250001,500000,,,,,,
AZ02,HEINZ,,,1001,15000,,,,,,
AZ02,HEINZ,,,,,,,,,,
AZ02,HEINZ,,,,,,,,,,
AZ02,KOVACS,9111101,82954.99,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AZ02,MATIELLA,9111639,291497.47,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AZ02,WHEELER,9111972,32300.15,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AZ02,YUKSEL,10022110,52426.93,50001,100000,100001,250000,,5936,18000,
AZ02,YUKSEL,,,1,1000,50001,100000,,1200,2000,
AZ02,YUKSEL,,,,,10000,15000,,,36,
AZ02,YUKSEL,,,,,,,,,2370,
AZ02,YUKSEL,,,,,,,,,500,
MI13,GILMORE,9111544,37492.85,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MI13,HILL KNOTT,10023767,19108,1,1000,50001,100000,5001,15000,1500,35150
MI13,HILL KNOTT,,,1001,15000,100001,250000,,,11332,11332
MI13,HILL KNOTT,,,1001,15000,,,,,21864,21864
MI13,HILL KNOTT,,,50001,100000,,,,,62847,62847
MI13,HILL KNOTT,,,1,1000,,,,,50880,50880
MI13,HILL KNOTT,,,1,1000,,,,,8100,8100
MI13,HILL KNOTT,,,1,1000,,,,,4196,4196
MI13,HILL KNOTT,,,1001,15000,,,,,,
MI13,HILL KNOTT,,,1,1000,,,,,,
MI13,HILL KNOTT,,,15001,50000,,,,,,
MI13,HILL KNOTT,,,15001,50000,,,,,,
MI13,HILL KNOTT,,,15001,50000,,,,,,
MI13,HILL KNOTT,,,1001,15000,,,,,,
MI13,HILL KNOTT,,,1,1000,,,,,,
MI13,HILL KNOTT,,,50001,100000,,,,,,
MI13,HILL KNOTT,,,1001,15000,,,,,,
MI13,HILL KNOTT,,,1001,15000,,,,,,
MI13,HILL KNOTT,,,1001,15000,,,,,,
MI13,HILL KNOTT,,,1001,15000,,,,,,
MI13,HILL KNOTT,,,1,1000,,,,,,
MI13,HILL KNOTT,,,1,1000,,,,,,
MI13,WILD,10024034,622058,1001,15000,15001,50000,1,200,33216,113882
MI13,WILD,,,1001,15000,15001,50000,1001,2500,800,1875
MI13,WILD,,,1001,15000,15001,50000,50001,100000,,
MI13,WILD,,,1001,15000,15001,50000,50001,100000,,
MI13,WILD,,,1001,15000,50001,100000,1,200,,
MI13,WILD,,,1001,15000,,,15001,50000,,
MI13,WILD,,,1001,15000,,,,,,
MI13,WILD,,,50001,100000,,,,,,
MI13,WILD,,,15001,50000,,,,,,
MI13,WILD,,,15001,50000,,,,,,
MI13,WILD,,,15001,50000,,,,,,
MI13,WILD,,,15001,50000,,,,,,
MI13,WILD,,,1001,15000,,,,,,
MI13,WILD,,,15001,50000,,,,,,
MI13,WILD,,,1001,15000,,,,,,
MI13,WILD,,,250001,500000,,,,,,
MI13,WILD,,,250001,500000,,,,,,
MI13,WILD,,,1001,15000,,,,,,
MI13,WILD,,,500001,1000000,,,,,,
MI13,YOUNG,10022515,30958,50001,100000,,,,,25053,66756
MI13,JONES,9113119,265137.1,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MI13,CONYERS,10024207,212367.24,,,,,,,44000,82000
MI13,TLAIB,10022443,1509736.2,1001,15000,50000,100000,,,28712.79,42500
MI13,TLAIB,,,1001,15000,,,,,,750
MI13,TLAIB,,,1001,15000,,,,,200,800
MI13,TLAIB,,,1001,15000,,,,,,68307
NH01,SULLIVAN,9112570,2017132.45,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NH01,PAPPAS,9112192,1872780.65,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NH01,MACKENZIE,10019591,294831.05,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,1001,15000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,15001,50000,,,,,,
NH01,MACKENZIE,,,50001,100000,,,,,,
NH01,SOLDATI,10019601,187621.12,1001,15000,250001,50000,5001,15000,65000,60000
NH01,SOLDATI,,,100001,250000,50001,100000,,,45000,
NH01,SOLDATI,,,,,50001,100000,,,24000,24000
NH01,MESSMER,10024474,113420.91,15001,50000,15001,50000,,,,
NH01,MESSMER,,,15001,50000,15001,50000,15001,50000,,
NH01,MESSMER,,,1,1000,,,,,,
NH01,MESSMER,,,50001,100000,,,,,,
NH01,MESSMER,,,15001,50000,,,,,,
NH01,MESSMER,,,100001,250000,,,,,,
NH01,MESSMER,,,100001,250000,,,,,,
NH01,MESSMER,,,1001,15000,,,,,,
NH01,MESSMER,,,1001,15000,,,,,,
NH01,MESSMER,,,1001,15000,,,,,,
NH01,MESSMER,,,15001,50000,,,,,,
NH01,MESSMER,,,15001,50000,,,,,,
NH01,MESSMER,,,15001,50000,,,,,,
NH01,MESSMER,,,50001,100000,,,,,,
NH01,MESSMER,,,1001,15000,,,,,,
